CS 642, PIERCE, TYPES & PROGRAMMING LANGUAGES, 88.00, 9780262162098
CS 644, FISCHER ET AL, CRAFTING A COMPILER, 154.35, 9780136067054
CS 647, AMMANN & OFFUTT, INTRODUCTION TO SOFTWARE TESTING, 81.95, 9780521880381
CS 648, RAMAKRISHNAN & GEHRKE, DATABASE MANAGEMENT SYSTEMS 3ED, ce: $208.95, 9780072465631
CS 650, DUBOIS ET AL, PARALLEL COMPUTER ORGANIZATION AND DESIGN, 105.95, 9780521886758
CS 654, TANENBAUM & STEEN, DISTRIBUTED SYSTEMS , 174.50, 9780132392273
CS 654, COULOURIS ET AL, DISTRIBUTED SYSTEMS , 179.30, 9780132143011
CS 656, KUROSE & ROSS, COMPUTER NETWORKING, 149.10, 9780132856201
CS 658, PFLEEGER & PFLEEGER, SECURITY IN COMPUTING 4ED, 121.00, 9780132390774
CS 662, SHALLIT, SECOND COURSE IN FORMAL LANGUAGES & AUTOMATA THEOR, 65.95, 9780521865722
CS 676, GRAPHICS, COURSEWARE AVAILABLE AT MEDIA DOC DAVIS - DC 1820B, 0.00, 281082675966B
CS 683, BURKOWSKI, STRUCTURAL BIOINFORMATICS, 101.50, 9781584886839
CS 686, RUSSELL & NORVIG, ARTIFICIAL INTELLIGENCE , 171.15, 9780136042594
CS 687, GEDDES LABAHN & CZAPOR, ALGORITHMS FOR COMPUTER ALGEBRA, 150.25, 9780792392590
CS 688, SHREINER, OPENGL PROGRAMMING GUIDE , 62.99, 9780321552624
CS 688, HEARN ET AL, COMPUTER GRAPHICS WITH OPEN GL 4ED, 169.05, 9780136053583
CS 688, GRAPHICS, COURSEWARE AVAILABLE AT MEDIA DOC DAVIS - DC 1820B, 0.00, 281082675966B
CS 688, SHREINER, OPENGL PROGRAMMING GUIDE VERSIONS 3.0 & 3.1 8TH ED, 62.99, 9780321773036
CS 764, ARORA & BARAK, COMPUTATIONAL COMPLEXITY , 57.95, 9780521424264
